model,eta_target,grid,variant,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
M1,0.1,32,aligned_guard_1p1,1,1,0.0,1e-06,1e-06,0.009013284667245906,4,4,1.1321937296551507e-06,True,False,True
M1,0.1,32,aligned_guard_1p1,2,2,1e-06,1.1e-06,2.1000000000000002e-06,0.009857784898884841,4,4,1.5640154085053923e-06,True,False,True
M1,0.1,32,aligned_guard_1p1,3,3,2.1000000000000002e-06,1.21e-06,3.3100000000000005e-06,0.01077512796701578,5,5,5.087364889896329e-09,True,False,True
M1,0.1,32,aligned_guard_1p1,4,4,3.3100000000000005e-06,1.3310000000000003e-06,4.641000000000001e-06,0.011770296182470342,5,5,7.129142097502218e-09,True,False,True
M1,0.1,32,aligned_guard_1p1,5,5,4.641000000000001e-06,1.4641000000000003e-06,6.105100000000001e-06,0.012848340323119828,5,5,1.0655230220599632e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,6,6,6.105100000000001e-06,1.6105100000000006e-06,7.715610000000002e-06,0.014014316179203885,5,5,1.554125976741851e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,7,7,7.715610000000002e-06,1.7715610000000007e-06,9.487171000000002e-06,0.015273206776659696,5,5,2.2636237267852154e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,8,8,9.487171000000002e-06,1.948717100000001e-06,1.1435888100000002e-05,0.016629829174298644,5,5,3.2429295061975254e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,9,9,1.1435888100000002e-05,2.1435888100000012e-06,1.3579476910000003e-05,0.018088725143854175,5,5,4.6082277798043355e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,10,10,1.3579476910000003e-05,2.3579476910000015e-06,1.5937424601000003e-05,0.019654035643632363,5,5,6.521390816720477e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,11,11,1.5937424601000003e-05,2.5937424601000017e-06,1.8531167061100006e-05,0.021329359812077,5,5,9.061959664465996e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,12,12,1.8531167061100006e-05,2.853116706110002e-06,2.1384283767210007e-05,0.023117600247222078,5,5,1.2529483720261852e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,13,13,2.1384283767210007e-05,3.1384283767210024e-06,2.452271214393101e-05,0.025020797591709134,5,5,1.7113337663785937e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,14,14,2.452271214393101e-05,3.452271214393103e-06,2.7974983358324114e-05,0.027039958872318234,5,5,2.3145376304283376e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,15,15,2.7974983358324114e-05,3.7974983358324136e-06,3.177248169415653e-05,0.029174885573776198,5,5,3.0978849039383337e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,16,16,3.177248169415653e-05,4.177248169415655e-06,3.5949729863572185e-05,0.03142400894478362,5,5,4.0998749923271406e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,17,17,3.5949729863572185e-05,4.594972986357221e-06,4.0544702849929404e-05,0.03378424138580209,5,5,5.366309951715755e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,18,18,4.0544702849929404e-05,5.0544702849929435e-06,4.559917313492235e-05,0.03625085376683075,5,5,6.945229084595284e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,19,19,4.559917313492235e-05,5.559917313492238e-06,5.115909044841459e-05,0.038817388966682166,5,5,8.885527046327266e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,20,20,5.115909044841459e-05,6.115909044841462e-06,5.727499949325605e-05,0.04147562161986563,5,5,1.1237416534719246e-06,True,False,True
M1,0.1,32,aligned_guard_1p1,21,21,5.727499949325605e-05,6.727499949325609e-06,6.400249944258165e-05,0.044215572851808896,5,5,1.4051302301200028e-06,True,False,True
M1,0.1,32,aligned_guard_1p1,22,22,6.400249944258165e-05,7.40024994425817e-06,7.140274938683982e-05,0.047025586604454536,5,5,1.7370194207869728e-06,True,False,True
M1,0.1,32,aligned_guard_1p1,23,23,7.140274938683982e-05,8.140274938683989e-06,7.954302432552381e-05,0.049892471040353055,6,6,1.588538917286761e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,24,24,7.954302432552381e-05,8.954302432552388e-06,8.84973267580762e-05,0.05280170462227427,6,6,1.9840803030534656e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,25,25,8.84973267580762e-05,9.849732675807628e-06,9.834705943388383e-05,0.055737702135942487,6,6,2.4528255287025523e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,26,26,9.834705943388383e-05,1.0834705943388392e-05,0.00010918176537727222,0.05868413147630266,6,6,2.9896987768028396e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,27,27,0.00010918176537727222,1.1918176537727232e-05,0.00012109994191499945,0.06162426805175072,6,6,3.5904180094389546e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,28,28,0.00012109994191499945,1.3109994191499957e-05,0.0001342099361064994,0.06454137051330996,6,6,4.263626933265752e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,29,29,0.0001342099361064994,1.4420993610649954e-05,0.00014863092971714937,0.0674190596536692,6,6,5.00440621264987e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,30,30,0.00014863092971714937,1.586309297171495e-05,0.00016449402268886432,0.07024168194979376,6,6,5.820953008557851e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,31,31,0.00016449402268886432,1.7449402268886447e-05,0.00018194342495775077,0.07299464040395744,6,6,6.662962141570037e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,32,32,0.00018194342495775077,1.9194342495775094e-05,0.00020113776745352586,0.07566467792673069,6,6,7.567181708830336e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,33,33,0.00020113776745352586,2.1113776745352607e-05,0.00022225154419887848,0.0782401021859968,6,6,8.506240528063472e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,34,34,0.00022225154419887848,2.322515441988787e-05,0.00024547669861876636,0.08071094518505917,6,6,9.450302624314264e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,35,35,0.00024547669861876636,2.554766986187666e-05,0.000271024368480643,0.08306905535033254,6,6,1.0420019970867062e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,36,36,0.000271024368480643,2.8102436848064327e-05,0.00029912680532870735,0.0853081241507872,6,6,1.1372192079138199e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,37,37,0.00029912680532870735,3.091268053287076e-05,0.0003300394858615781,0.08742365286897005,6,6,1.2323295185929553e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,38,38,0.0003300394858615781,3.4003948586157844e-05,0.0003640434344477359,0.08941286785265332,6,6,1.3219330057190714e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,39,39,0.0003640434344477359,3.7404343444773634e-05,0.00040144777789250956,0.09127459428885637,6,6,1.4092420527423785e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,40,40,0.00040144777789250956,4.0980016110945664e-05,0.0004424277940034552,0.09266770061058739,6,6,1.4587509373018845e-07,True,False,True
