model,eta_target,grid,variant,step,time,dt,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,rejections_before_accept
M1,0.5,64,aligned_guard_1p1,1,1e-06,1e-06,0.0317729788711913,6,6,2.1400153354225402e-08,0
M1,0.5,64,aligned_guard_1p1,2,2.1000000000000002e-06,1.1e-06,0.03419282136640598,6,6,2.6129666334396414e-08,0
M1,0.5,64,aligned_guard_1p1,3,3.3100000000000005e-06,1.21e-06,0.03671927598515907,6,6,3.337779208569921e-08,0
M1,0.5,64,aligned_guard_1p1,4,4.641000000000001e-06,1.3310000000000003e-06,0.03934428335460413,6,6,4.206644516068192e-08,0
M1,0.5,64,aligned_guard_1p1,5,6.105100000000001e-06,1.4641000000000003e-06,0.042057818174382304,6,6,5.1581321257506305e-08,0
M1,0.5,64,aligned_guard_1p1,6,7.715610000000002e-06,1.6105100000000006e-06,0.04484795419275653,6,6,6.252246698910582e-08,0
M1,0.5,64,aligned_guard_1p1,7,9.487171000000002e-06,1.7715610000000007e-06,0.04770100563314914,6,6,7.380193410565855e-08,0
M1,0.5,64,aligned_guard_1p1,8,1.1435888100000002e-05,1.948717100000001e-06,0.050601745670060747,6,6,8.734669670531098e-08,0
M1,0.5,64,aligned_guard_1p1,9,1.3579476910000003e-05,2.1435888100000012e-06,0.05353369719907422,6,6,1.018182656937509e-07,0
M1,0.5,64,aligned_guard_1p1,10,1.5937424601000003e-05,2.3579476910000015e-06,0.056479485635228394,6,6,1.1737065007939216e-07,0
M1,0.5,64,aligned_guard_1p1,11,1.8531167061100006e-05,2.5937424601000017e-06,0.05942123841353428,6,6,1.3288242155031517e-07,0
M1,0.5,64,aligned_guard_1p1,12,2.1384283767210007e-05,2.853116706110002e-06,0.06234101186197255,6,6,1.492302539549691e-07,0
M1,0.5,64,aligned_guard_1p1,13,2.452271214393101e-05,3.1384283767210024e-06,0.06522122367984266,6,6,1.654802356464989e-07,0
M1,0.5,64,aligned_guard_1p1,14,2.7974983358324114e-05,3.452271214393103e-06,0.06804506870403029,6,6,1.818563262325564e-07,0
M1,0.5,64,aligned_guard_1p1,15,3.177248169415653e-05,3.7974983358324136e-06,0.07079689705746393,6,6,1.982992099291321e-07,0
M1,0.5,64,aligned_guard_1p1,16,3.5949729863572185e-05,4.177248169415655e-06,0.07346253696226519,6,6,2.1361556982185171e-07,0
M1,0.5,64,aligned_guard_1p1,17,4.0544702849929404e-05,4.594972986357221e-06,0.0760295490534229,6,6,2.2770766725113193e-07,0
M1,0.5,64,aligned_guard_1p1,18,4.559917313492235e-05,5.0544702849929435e-06,0.07848740438392723,6,6,2.4183336139079597e-07,0
M1,0.5,64,aligned_guard_1p1,19,5.115909044841459e-05,5.559917313492238e-06,0.08082758385031083,6,6,2.5431519689231745e-07,0
M1,0.5,64,aligned_guard_1p1,20,5.727499949325605e-05,6.115909044841462e-06,0.08304360191106229,6,6,2.651827629483878e-07,0
M1,0.5,64,aligned_guard_1p1,21,6.400249944258165e-05,6.727499949325609e-06,0.08513096176175423,6,6,2.74165461262821e-07,0
M1,0.5,64,aligned_guard_1p1,22,7.140274938683982e-05,7.40024994425817e-06,0.08708705227908116,6,6,2.8154499284765114e-07,0
M1,0.5,64,aligned_guard_1p1,23,7.954302432552381e-05,8.140274938683989e-06,0.08891099893928082,6,6,2.873151808980229e-07,0
M1,0.5,64,aligned_guard_1p1,24,8.84973267580762e-05,8.954302432552388e-06,0.09060348160284101,6,6,2.9134816764854146e-07,0
M1,0.5,64,aligned_guard_1p1,25,9.834705943388383e-05,9.849732675807628e-06,0.09216653170626748,6,6,2.9426311997361405e-07,0
M1,0.5,64,aligned_guard_1p1,26,0.00010918176537727222,1.0834705943388392e-05,0.09360332025504135,6,6,2.950940958744732e-07,0
M1,0.5,64,aligned_guard_1p1,27,0.00012109994191499945,1.1918176537727232e-05,0.09491794633753671,6,6,2.945719367123819e-07,0
M1,0.5,64,aligned_guard_1p1,28,0.0001342099361064994,1.3109994191499957e-05,0.09611523393294139,6,6,2.930325206810588e-07,0
M1,0.5,64,aligned_guard_1p1,29,0.00014863092971714937,1.4420993610649954e-05,0.09720054278392436,6,6,2.900622814645295e-07,0
M1,0.5,64,aligned_guard_1p1,30,0.00016449402268886432,1.586309297171495e-05,0.0981795972117792,6,6,2.856266384693743e-07,0
M1,0.5,64,aligned_guard_1p1,31,0.00018194342495775077,1.7449402268886447e-05,0.0990583350781034,6,6,2.811678645612928e-07,0
M1,0.5,64,aligned_guard_1p1,32,0.00020113776745352586,1.9194342495775094e-05,0.09984277770279619,6,6,2.7556817624447676e-07,0
M1,0.5,64,aligned_guard_1p1,33,0.00022225154419887848,2.1113776745352607e-05,0.10053892045247341,6,6,2.696472218345516e-07,0
M1,0.5,64,aligned_guard_1p1,34,0.00024547669861876636,2.322515441988787e-05,0.10115264290548469,6,6,2.643611392626497e-07,0
M1,0.5,64,aligned_guard_1p1,35,0.000271024368480643,2.554766986187666e-05,0.10168963694920166,6,6,2.599880822914562e-07,0
M1,0.5,64,aligned_guard_1p1,36,0.00029912680532870735,2.8102436848064327e-05,0.10215535083124672,6,6,2.5614722413368347e-07,0
M1,0.5,64,aligned_guard_1p1,37,0.0003300394858615781,3.091268053287076e-05,0.10255494702438674,6,6,2.5506410998263444e-07,0
M1,0.5,64,aligned_guard_1p1,38,0.0003640434344477359,3.4003948586157844e-05,0.10289327173182589,6,6,2.554783753443614e-07,0
M1,0.5,64,aligned_guard_1p1,39,0.00040144777789250956,3.7404343444773634e-05,0.10317483391694851,6,6,2.590354073736959e-07,0
M1,0.5,64,aligned_guard_1p1,40,0.00044259255568176054,4.1144777789251e-05,0.10340379185678429,6,6,2.6575879068851367e-07,0
M1,0.5,64,aligned_guard_1p1,41,0.00048785181124993667,4.52592555681761e-05,0.10358394536612715,6,6,2.766083355031775e-07,0
M1,0.5,64,aligned_guard_1p1,42,0.0005376369923749304,4.978518112499371e-05,0.10371873200117762,6,6,2.901503331383638e-07,0
M1,0.5,64,aligned_guard_1p1,43,0.0005924006916124235,5.4763699237493086e-05,0.10381122571681049,6,6,3.0708954492999947e-07,0
M1,0.5,64,aligned_guard_1p1,44,0.0006526407607736659,6.02400691612424e-05,0.10386413661628464,6,6,3.271252835837581e-07,0
M1,0.5,64,aligned_guard_1p1,45,0.0007189048368510325,6.626407607736664e-05,0.1038798105993838,6,6,3.502856748354984e-07,0
M1,0.5,64,aligned_guard_1p1,46,0.0007917953205361358,7.289048368510331e-05,0.10386022789361189,6,6,3.748373628527357e-07,0
M1,0.5,64,aligned_guard_1p1,47,0.0008719748525897494,8.017953205361364e-05,0.10380699965604913,6,6,4.0144274979153534e-07,0
M1,0.5,64,aligned_guard_1p1,48,0.0009601723378487245,8.819748525897502e-05,0.10372136207350159,6,6,4.293216307346887e-07,0
M1,0.5,64,aligned_guard_1p1,49,0.001057189571633597,9.701723378487253e-05,0.10360416767123969,6,6,4.580779062517638e-07,0
M1,0.5,64,aligned_guard_1p1,50,0.001163908528796957,0.00010671895716335979,0.10345587385560746,6,6,4.870064503085573e-07,0
M1,0.5,64,aligned_guard_1p1,51,0.0012812993816766526,0.00011739085287969578,0.103491430305214,6,6,5.164547003868856e-07,0
M1,0.5,64,aligned_guard_1p1,52,0.001410429319844318,0.00012912993816766537,0.10481178601000773,6,6,5.455468589132433e-07,0
M1,0.5,64,aligned_guard_1p1,53,0.00155247225182875,0.00014204293198443192,0.10603577532723889,6,6,5.741287416609805e-07,0
M1,0.5,64,aligned_guard_1p1,54,0.0017087194770116251,0.00015624722518287512,0.10716964985114315,6,6,6.031890825915816e-07,0
M1,0.5,64,aligned_guard_1p1,55,0.0018805914247127878,0.00017187194770116264,0.10821978660971503,6,6,6.357142202743627e-07,0
M1,0.5,64,aligned_guard_1p1,56,0.0020696505671840668,0.00018905914247127894,0.10919257302858713,6,6,6.798068327561494e-07,0
M1,0.5,64,aligned_guard_1p1,57,0.0022776156239024737,0.00020796505671840686,0.1153004875980412,6,6,7.529668519718395e-07,0
M1,0.5,64,aligned_guard_1p1,58,0.0025063771862927214,0.00022876156239024756,0.12775221128460826,6,6,8.826644101862949e-07,0
M1,0.5,64,aligned_guard_1p1,59,0.0027580149049219937,0.00025163771862927233,0.13978013310569073,6,6,1.0988298653430466e-06,0
M1,0.5,64,aligned_guard_1p1,60,0.0030348163954141932,0.0002768014904921996,0.15108180900675355,6,6,1.420985556204377e-06,0
M1,0.5,64,aligned_guard_1p1,61,0.0033392980349556127,0.0003044816395414196,0.16141414831904297,6,6,1.8524094202911154e-06,0
M1,0.5,64,aligned_guard_1p1,62,0.0036742278384511743,0.00033492980349556157,0.17060872663455381,7,7,4.125513979509317e-08,0
M1,0.5,64,aligned_guard_1p1,63,0.004042650622296292,0.00036842278384511775,0.17857431756434972,7,7,5.288035581716391e-08,0
M1,0.5,64,aligned_guard_1p1,64,0.004447915684525921,0.0004052650622296296,0.18528872982346878,7,7,6.602565809207804e-08,0
M1,0.5,64,aligned_guard_1p1,65,0.004893707252978514,0.0004457915684525926,0.19078396081012458,7,7,7.936072691770207e-08,0
