variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,linear_per_nonlinear,residual
current,0.5,64,1,1e-06,1e-06,3.1974946637328166e-05,2,2,1.0,5.205080032052604e-07
current,0.5,64,2,2.1000000000000002e-06,1.1e-06,3.517341416252258e-05,2,2,1.0,5.818895186039226e-07
current,0.5,64,3,3.3100000000000005e-06,1.21e-06,3.8691932718487555e-05,2,2,1.0,6.722722168553749e-07
current,0.5,64,4,4.641000000000001e-06,1.3310000000000003e-06,4.256255029930528e-05,2,2,1.0,7.976495675266064e-07
current,0.5,64,5,6.105100000000001e-06,1.4641000000000003e-06,4.6820528703109744e-05,2,2,1.0,9.622629636566834e-07
current,0.5,64,6,7.715610000000002e-06,1.6105100000000006e-06,5.150466680279562e-05,2,2,1.0,1.1737276846872448e-06
current,0.5,64,7,9.487171000000002e-06,1.7715610000000007e-06,5.6657656540224194e-05,2,2,1.0,1.4380580639233536e-06
current,0.5,64,8,1.1435888100000002e-05,1.948717100000001e-06,6.232647499968955e-05,2,2,1.0,1.766190487076633e-06
current,0.5,64,9,1.3579476910000003e-05,2.1435888100000012e-06,6.856281654669121e-05,3,3,1.0,5.141979575746677e-10
current,0.5,64,10,1.5937424601000003e-05,2.3579476910000015e-06,7.542356756855362e-05,3,3,1.0,3.658972660682013e-10
current,0.5,64,11,1.8531167061100006e-05,2.5937424601000017e-06,8.297133205006392e-05,3,3,1.0,4.788466472465933e-10
current,0.5,64,12,2.1384283767210007e-05,2.853116706110002e-06,9.127500832259192e-05,3,3,1.0,4.925953088424023e-10
current,0.5,64,13,2.452271214393101e-05,3.1384283767210024e-06,0.00010041042589500226,3,3,1.0,5.946959896670922e-10
current,0.5,64,14,2.7974983358324114e-05,3.452271214393103e-06,0.00011046104724513796,3,3,1.0,7.191930734634683e-10
current,0.5,64,15,3.177248169415653e-05,3.7974983358324136e-06,0.00012151874161103832,3,3,1.0,9.822000746241978e-10
current,0.5,64,16,3.5949729863572185e-05,4.177248169415655e-06,0.00013368463836077113,3,3,1.0,1.2941504290350677e-09
current,0.5,64,17,4.0544702849929404e-05,4.594972986357221e-06,0.00014707006836061658,3,3,1.0,1.4662422561900847e-09
current,0.5,64,18,4.559917313492235e-05,5.0544702849929435e-06,0.00016179760269865561,3,3,1.0,2.029758609459429e-09
current,0.5,64,19,5.115909044841459e-05,5.559917313492238e-06,0.0001780021991736612,3,3,1.0,2.680727393036777e-09
current,0.5,64,20,5.727499949325605e-05,6.115909044841462e-06,0.00019583246813892658,3,3,1.0,3.6882911885877343e-09
current,0.5,64,21,6.400249944258165e-05,6.727499949325609e-06,0.0002154520706245114,3,3,1.0,4.9150901273195185e-09
current,0.5,64,22,7.140274938683982e-05,7.40024994425817e-06,0.00023704126315256268,3,3,1.0,6.633807500843484e-09
current,0.5,64,23,7.954302432552381e-05,8.140274938683989e-06,0.00026079860535781674,3,3,1.0,8.677354444733505e-09
current,0.5,64,24,8.84973267580762e-05,8.954302432552388e-06,0.0002869428484292901,3,3,1.0,1.170834744074641e-08
current,0.5,64,25,9.834705943388383e-05,9.849732675807628e-06,0.00031571502456066985,3,3,1.0,1.556875843783764e-08
current,0.5,64,26,0.00010918176537727222,1.0834705943388392e-05,0.0003473807600455174,3,3,1.0,2.0841103862896135e-08
current,0.5,64,27,0.00012109994191499945,1.1918176537727232e-05,0.0003822328374517521,3,3,1.0,2.7811339231969295e-08
current,0.5,64,28,0.0001342099361064994,1.3109994191499957e-05,0.00042059403548564084,3,3,1.0,3.714847344581207e-08
current,0.5,64,29,0.00014863092971714937,1.4420993610649954e-05,0.00046282027878977747,3,3,1.0,4.9561329682074034e-08
current,0.5,64,30,0.00016449402268886432,1.586309297171495e-05,0.0005093041340662097,3,3,1.0,6.603756830872548e-08
current,0.5,64,31,0.00018194342495775077,1.7449402268886447e-05,0.0005604786936773013,3,3,1.0,8.815992247162662e-08
current,0.5,64,32,0.00020113776745352586,1.9194342495775094e-05,0.0006168218933369726,3,3,1.0,1.1750989812008056e-07
current,0.5,64,33,0.00022225154419887848,2.1113776745352607e-05,0.0006788613167874279,3,3,1.0,1.5667379910236116e-07
current,0.5,64,34,0.00024547669861876636,2.322515441988787e-05,0.0007471795476008157,3,3,1.0,2.0892119170090213e-07
current,0.5,64,35,0.000271024368480643,2.554766986187666e-05,0.0008224201366069646,3,3,1.0,2.7860281224178905e-07
current,0.5,64,36,0.00029912680532870735,2.8102436848064327e-05,0.0009052942631237969,3,3,1.0,3.7152227870837184e-07
current,0.5,64,37,0.0003300394858615781,3.091268053287076e-05,0.000996588179375164,3,3,1.0,4.954548761022648e-07
current,0.5,64,38,0.0003640434344477359,3.4003948586157844e-05,0.0010971715404921214,3,3,1.0,6.608557999925056e-07
current,0.5,64,39,0.00040144777789250956,3.7404343444773634e-05,0.0012080067376145866,3,3,1.0,8.815431842034745e-07
current,0.5,64,40,0.00044259255568176054,4.1144777789251e-05,0.0013301593692035636,3,3,1.0,1.1761023002421616e-06
current,0.5,64,41,0.00048785181124993667,4.52592555681761e-05,0.0014648100061753677,3,3,1.0,1.5694157543445924e-06
current,0.5,64,42,0.0005376369923749304,4.978518112499371e-05,0.0016132674368373463,4,4,1.0,3.333223687421803e-09
current,0.5,64,43,0.0005924006916124235,5.4763699237493086e-05,0.0017769835632607074,4,4,1.0,4.869253141246055e-09
current,0.5,64,44,0.0006526407607736659,6.02400691612424e-05,0.0019575702723360197,4,4,1.0,7.169256765158577e-09
current,0.5,64,45,0.0007189048368510325,6.626407607736664e-05,0.0021568184554040457,4,4,1.0,1.0518145670516797e-08
current,0.5,64,46,0.0007917953205361358,7.289048368510331e-05,0.002376719572358161,4,4,1.0,1.5473965442559163e-08
current,0.5,64,47,0.0008719748525897494,8.017953205361364e-05,0.0026194901064650615,4,4,1.0,2.2744954068754768e-08
current,0.5,64,48,0.0009601723378487245,8.819748525897502e-05,0.0028875993486798274,4,4,1.0,3.345773783871735e-08
current,0.5,64,49,0.001057189571633597,9.701723378487253e-05,0.0031838010159384532,4,4,1.0,4.9230357096552554e-08
current,0.5,64,50,0.001163908528796957,0.00010671895716335979,0.0035111692892626483,4,4,1.0,7.24933127242855e-08
current,0.5,64,51,0.0012812993816766526,0.00011739085287969578,0.0038731399515930425,4,4,1.0,1.0678803991858226e-07
current,0.5,64,52,0.001410429319844318,0.00012912993816766537,0.004273557413610877,4,4,1.0,1.5742148206185005e-07
current,0.5,64,53,0.00155247225182875,0.00014204293198443192,0.004716728539886352,4,4,1.0,2.3220910731079672e-07
current,0.5,64,54,0.0017087194770116251,0.00015624722518287512,0.005207484328741336,4,4,1.0,3.4277940197431294e-07
current,0.5,64,55,0.0018805914247127878,0.00017187194770116264,0.005754363967960723,4,4,1.0,5.06411703298994e-07
current,0.5,64,56,0.0020696505671840668,0.00018905914247127894,0.006361392654948926,4,4,1.0,7.488377080917242e-07
current,0.5,64,57,0.0022776156239024737,0.00020796505671840686,0.007035666581634405,4,4,1.0,1.108420629004706e-06
current,0.5,64,58,0.0025063771862927214,0.00022876156239024756,0.007785249307472459,4,4,1.0,1.6424717357116553e-06
current,0.5,64,59,0.0027580149049219937,0.00025163771862927233,0.008619278446103145,5,5,1.0,1.9491985496241484e-08
current,0.5,64,60,0.0030348163954141932,0.0002768014904921996,0.009548123790487901,5,5,1.0,3.18497108465546e-08
current,0.5,64,61,0.0033392980349556127,0.0003044816395414196,0.010583570043558869,5,5,1.0,5.211254459076405e-08
current,0.5,64,62,0.0036742278384511743,0.00033492980349556157,0.011739045736583253,5,5,1.0,8.539890417168951e-08
current,0.5,64,63,0.004042650622296292,0.00036842278384511775,0.01302982603933251,5,5,1.0,1.4019987930932374e-07
current,0.5,64,64,0.004447915684525921,0.0004052650622296296,0.014473332755549765,5,5,1.0,2.306157483289727e-07
current,0.5,64,65,0.004893707252978514,0.0004457915684525926,0.016089451186019954,5,5,1.0,3.801507189773048e-07
current,0.5,64,66,0.005384077978276365,0.0004903707252978519,0.017900882439474585,5,5,1.0,6.281365705291762e-07
current,0.5,64,67,0.005923485776104002,0.0005394077978276372,0.019933541852639586,5,5,1.0,1.0406061915912054e-06
current,0.5,64,68,0.006516834353714403,0.000593348577610401,0.02221699959925681,5,5,1.0,1.7289039196959672e-06
current,0.5,64,69,0.007169517789085845,0.0006526834353714411,0.024784959541623325,6,6,1.0,5.962347681358257e-08
current,0.5,64,70,0.00788746956799443,0.0007179517789085853,0.027675767178703643,6,6,1.0,1.0965634205851733e-07
current,0.5,64,71,0.008677216524793875,0.0007897469567994438,0.030932932022416777,6,6,1.0,2.0245398512718567e-07
