variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,linear_per_nonlinear,residual
paper_tol,0.5,32,1,1e-06,1e-06,1.597502331859163e-05,2,2,1.0,1.6637486696628129e-07
paper_tol,0.5,32,2,2.1000000000000002e-06,1.1e-06,1.7572787242935266e-05,2,2,1.0,1.6378134714264563e-07
paper_tol,0.5,32,3,3.3100000000000005e-06,1.21e-06,1.9330382492011906e-05,2,2,1.0,1.611965169789157e-07
paper_tol,0.5,32,4,4.641000000000001e-06,1.3310000000000003e-06,2.126380373332162e-05,2,2,1.0,1.597206548480419e-07
paper_tol,0.5,32,5,6.105100000000001e-06,1.4641000000000003e-06,2.3390647523374327e-05,2,2,1.0,1.592706035902664e-07
paper_tol,0.5,32,6,7.715610000000002e-06,1.6105100000000006e-06,2.5730273004829896e-05,2,2,1.0,1.6128622275118642e-07
paper_tol,0.5,32,7,9.487171000000002e-06,1.7715610000000007e-06,2.830397878081395e-05,2,2,1.0,1.6713064990896372e-07
paper_tol,0.5,32,8,1.1435888100000002e-05,1.948717100000001e-06,3.113519760517054e-05,2,2,1.0,1.7833838142947826e-07
paper_tol,0.5,32,9,1.3579476910000003e-05,2.1435888100000012e-06,3.4249710698551953e-05,2,2,1.0,1.9725261037971567e-07
paper_tol,0.5,32,10,1.5937424601000003e-05,2.3579476910000015e-06,3.7675883685215126e-05,2,2,1.0,2.256611624576441e-07
paper_tol,0.5,32,11,1.8531167061100006e-05,2.5937424601000017e-06,4.144492635181598e-05,2,2,1.0,2.6551809846537255e-07
paper_tol,0.5,32,12,2.1384283767210007e-05,2.853116706110002e-06,4.559117865922363e-05,2,2,1.0,3.192975965011896e-07
paper_tol,0.5,32,13,2.452271214393101e-05,3.1384283767210024e-06,5.015242569081926e-05,2,2,1.0,3.88186915181587e-07
paper_tol,0.5,32,14,2.7974983358324114e-05,3.452271214393103e-06,5.517024450047616e-05,2,2,1.0,4.7520948254694316e-07
paper_tol,0.5,32,15,3.177248169415653e-05,3.7974983358324136e-06,6.069038613527477e-05,2,2,1.0,5.832822594935495e-07
paper_tol,0.5,32,16,3.5949729863572185e-05,4.177248169415655e-06,6.676319645426873e-05,2,2,1.0,7.162681414033025e-07
paper_tol,0.5,32,17,4.0544702849929404e-05,4.594972986357221e-06,7.344407974640552e-05,2,2,1.0,8.788960368798759e-07
paper_tol,0.5,32,18,4.559917313492235e-05,5.0544702849929435e-06,8.079400957801205e-05,2,2,1.0,1.0771941977076518e-06
paper_tol,0.5,32,19,5.115909044841459e-05,5.559917313492238e-06,8.888009177600957e-05,2,2,1.0,1.3182080293256672e-06
paper_tol,0.5,32,20,5.727499949325605e-05,6.115909044841462e-06,9.777618497932604e-05,2,2,1.0,1.6108543762454682e-06
paper_tol,0.5,32,21,6.400249944258165e-05,6.727499949325609e-06,0.00010756358478263058,2,2,1.0,1.9657587733223678e-06
paper_tol,0.5,32,22,7.140274938683982e-05,7.40024994425817e-06,0.00011833177969997763,3,3,1.0,3.2177061281057355e-10
paper_tol,0.5,32,23,7.954302432552381e-05,8.140274938683989e-06,0.0001301792776212376,3,3,1.0,4.0328235759563364e-10
paper_tol,0.5,32,24,8.84973267580762e-05,8.954302432552388e-06,0.00014321453170877005,3,3,1.0,4.91937389825189e-10
paper_tol,0.5,32,25,9.834705943388383e-05,9.849732675807628e-06,0.00015755694864690904,3,3,1.0,6.247637043280798e-10
paper_tol,0.5,32,26,0.00010918176537727222,1.0834705943388392e-05,0.00017333800822258384,3,3,1.0,8.53730739317704e-10
paper_tol,0.5,32,27,0.00012109994191499945,1.1918176537727232e-05,0.00019070249841670936,3,3,1.0,1.1535001911844701e-09
paper_tol,0.5,32,28,0.0001342099361064994,1.3109994191499957e-05,0.00020980987982870675,3,3,1.0,1.59515403195672e-09
paper_tol,0.5,32,29,0.00014863092971714937,1.4420993610649954e-05,0.00023083579358739004,3,3,1.0,2.1098637949520397e-09
paper_tol,0.5,32,30,0.00016449402268886432,1.586309297171495e-05,0.0002539737285710366,3,3,1.0,2.809783360200429e-09
paper_tol,0.5,32,31,0.00018194342495775077,1.7449402268886447e-05,0.00027943686565066236,3,3,1.0,3.7874791505770734e-09
paper_tol,0.5,32,32,0.00020113776745352586,1.9194342495775094e-05,0.00030746011881489343,3,3,1.0,5.016257216892104e-09
paper_tol,0.5,32,33,0.00022225154419887848,2.1113776745352607e-05,0.0003383023954673604,3,3,1.0,6.6863815965446535e-09
paper_tol,0.5,32,34,0.00024547669861876636,2.322515441988787e-05,0.00037224910096555705,3,3,1.0,8.937199431408081e-09
paper_tol,0.5,32,35,0.000271024368480643,2.554766986187666e-05,0.00040961491562732183,3,3,1.0,1.1952946354245819e-08
paper_tol,0.5,32,36,0.00029912680532870735,2.8102436848064327e-05,0.0004507468760508085,3,3,1.0,1.5957136647240777e-08
paper_tol,0.5,32,37,0.0003300394858615781,3.091268053287076e-05,0.0004960277967316405,3,3,1.0,2.1261880728865575e-08
paper_tol,0.5,32,38,0.0003640434344477359,3.4003948586157844e-05,0.0005458800727165265,3,3,1.0,2.8372679106961033e-08
paper_tol,0.5,32,39,0.00040144777789250956,3.7404343444773634e-05,0.0006007699094967752,3,3,1.0,3.7822888060815184e-08
paper_tol,0.5,32,40,0.00044259255568176054,4.1144777789251e-05,0.0006612120326472198,3,3,1.0,5.043493559075228e-08
paper_tol,0.5,32,41,0.00048785181124993667,4.52592555681761e-05,0.0007277749369888066,3,3,1.0,6.724504099621595e-08
paper_tol,0.5,32,42,0.0005376369923749304,4.978518112499371e-05,0.000801086743472715,3,3,1.0,8.968762649418739e-08
paper_tol,0.5,32,43,0.0005924006916124235,5.4763699237493086e-05,0.0008818417417421272,3,3,1.0,1.1960395344095758e-07
paper_tol,0.5,32,44,0.0006526407607736659,6.02400691612424e-05,0.0009708077076557309,3,3,1.0,1.5950942408490336e-07
paper_tol,0.5,32,45,0.0007189048368510325,6.626407607736664e-05,0.0010688340982437147,3,3,1.0,2.1275332157979016e-07
paper_tol,0.5,32,46,0.0007917953205361358,7.289048368510331e-05,0.0011768612419208438,3,3,1.0,2.83811404948802e-07
paper_tol,0.5,32,47,0.0008719748525897494,8.017953205361364e-05,0.001295930659701476,3,3,1.0,3.7866233388885903e-07
paper_tol,0.5,32,48,0.0009601723378487245,8.819748525897502e-05,0.0014271966740963126,3,3,1.0,5.052980032380004e-07
paper_tol,0.5,32,49,0.001057189571633597,9.701723378487253e-05,0.0015719394868516279,3,3,1.0,6.744334603432098e-07
paper_tol,0.5,32,50,0.001163908528796957,0.00010671895716335979,0.00173157993535036,3,3,1.0,9.004025597105618e-07
paper_tol,0.5,32,51,0.0012812993816766526,0.00011739085287969578,0.0019076961710653257,3,3,1.0,1.20241759766031e-06
paper_tol,0.5,32,52,0.001410429319844318,0.00012912993816766537,0.0021020425427864427,3,3,1.0,1.6062215236449281e-06
paper_tol,0.5,32,53,0.00155247225182875,0.00014204293198443192,0.0023165710402974706,4,4,1.0,4.835592873744755e-09
paper_tol,0.5,32,54,0.0017087194770116251,0.00015624722518287512,0.0025534555327579563,4,4,1.0,7.108298420457842e-09
paper_tol,0.5,32,55,0.0018805914247127878,0.00017187194770116264,0.002815119593660403,4,4,1.0,1.0457717737606797e-08
paper_tol,0.5,32,56,0.0020696505671840668,0.00018905914247127894,0.003104268000199645,4,4,1.0,1.539108942681307e-08
paper_tol,0.5,32,57,0.0022776156239024737,0.00020796505671840686,0.003423922818660081,4,4,1.0,2.2663996883782175e-08
paper_tol,0.5,32,58,0.0025063771862927214,0.00022876156239024756,0.0037774646670020308,4,4,1.0,3.339030701627867e-08
paper_tol,0.5,32,59,0.0027580149049219937,0.00025163771862927233,0.004168679996235191,4,4,1.0,4.922198862896562e-08
paper_tol,0.5,32,60,0.0030348163954141932,0.0002768014904921996,0.0046018153485434705,4,4,1.0,7.26129282346445e-08
paper_tol,0.5,32,61,0.0033392980349556127,0.0003044816395414196,0.00508163970476593,4,4,1.0,1.0719835519705681e-07
paper_tol,0.5,32,62,0.0036742278384511743,0.00033492980349556157,0.005613516210053182,4,4,1.0,1.583857281953215e-07
paper_tol,0.5,32,63,0.004042650622296292,0.00036842278384511775,0.0062034847652895735,4,4,1.0,2.3423113942232015e-07
paper_tol,0.5,32,64,0.004447915684525921,0.0004052650622296296,0.0068583571930383655,4,4,1.0,3.467397876110895e-07
paper_tol,0.5,32,65,0.004893707252978514,0.0004457915684525926,0.0075858269283281335,4,4,1.0,5.138569313973317e-07
paper_tol,0.5,32,66,0.005384077978276365,0.0004903707252978519,0.008394595441599937,4,4,1.0,7.624428458903503e-07
paper_tol,0.5,32,67,0.005923485776104002,0.0005394077978276372,0.009294517864150921,4,4,1.0,1.1327975749277805e-06
paper_tol,0.5,32,68,0.006516834353714403,0.000593348577610401,0.010296770539355177,4,4,1.0,1.6855280056809584e-06
paper_tol,0.5,32,69,0.007169517789085845,0.0006526834353714411,0.011414043570539071,5,5,1.0,2.5967217652606033e-08
paper_tol,0.5,32,70,0.00788746956799443,0.0007179517789085853,0.012660760747057782,5,5,1.0,4.263871899274379e-08
paper_tol,0.5,32,71,0.008677216524793875,0.0007897469567994438,0.014053331537021096,5,5,1.0,7.014873700976707e-08
paper_tol,0.5,32,72,0.009545938177273262,0.0008687216524793883,0.015610436064352258,5,5,1.0,1.1565624262693347e-07
paper_tol,0.5,32,73,0.01050153199500059,0.0009555938177273272,0.01735334676963507,5,5,1.0,1.911363642708921e-07
paper_tol,0.5,32,74,0.01155268519450065,0.00105115319950006,0.01930628752639147,5,5,1.0,3.1669783635464995e-07
paper_tol,0.5,32,75,0.012708953713950717,0.001156268519450066,0.02149682980445594,5,5,1.0,5.262478160917e-07
paper_tol,0.5,32,76,0.01398084908534579,0.0012718953713950728,0.023956322616241893,5,5,1.0,8.772104705792936e-07
paper_tol,0.5,32,77,0.015379933993880369,0.0013990849085345801,0.026720348848170143,5,5,1.0,1.4673190143092645e-06
paper_tol,0.5,32,78,0.016918927393268408,0.0015389933993880383,0.029829194921166053,6,6,1.0,5.992406762931719e-08
paper_tol,0.5,32,79,0.01861182013259525,0.0016928927393268422,0.03336216620426802,6,6,1.0,1.1111020358855255e-07
paper_tol,0.5,32,80,0.020474002145854774,0.0018621820132595267,0.037349237703397625,6,6,1.0,2.0697226688040943e-07
paper_tol,0.5,32,81,0.022522402360440254,0.0020484002145854797,0.041849005150266815,6,6,1.0,3.8750534179542963e-07
paper_tol,0.5,32,82,0.024775642596484283,0.0022532402360440277,0.04692788536015985,6,6,1.0,7.295834537141346e-07
paper_tol,0.5,32,83,0.027254206856132713,0.0024785642596484307,0.05265890304653617,6,6,1.0,1.3821298197191063e-06
paper_tol,0.5,32,84,0.029980627541745988,0.002726420685613274,0.059121313153617794,7,7,1.0,1.1333108176496018e-07
paper_tol,0.5,32,85,0.032979690295920586,0.0029990627541746015,0.06639973207410567,7,7,1.0,2.394478420132542e-07
paper_tol,0.5,32,86,0.03627865932551265,0.003298969029592062,0.07458380932715382,7,7,1.0,5.100692447363794e-07
