variant,note,eta,grid,converged,t_final,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_nonlinear,max_linear,max_nonlinear,linear_tol_factor,jfnk_eps_mode,damping_norm,mg_smoother,mg_pre_smooths,mg_post_smooths,picard_mass_mode,use_m3_limiter,elapsed_sec,failure_reason,limit_m3_boundary_faces,mg_coarse_face_mode,m3_limiter_gradient_mode
base,current test.py-like settings,0.1,32,True,0.1,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,5,3,0.003,normalized,linf,jacobi,3,3,q_derivative,True,1.0053838999010623,,,,
base,current test.py-like settings,0.1,64,True,0.1,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,6,3,0.003,normalized,linf,jacobi,3,3,q_derivative,True,3.000604899949394,,,,
base,current test.py-like settings,0.5,32,True,0.5,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,18,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,2.2414924999466166,,,,
base,current test.py-like settings,0.5,64,True,0.5,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,25,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,8.193200799985789,,,,
paper_linear_tol,paper-stated linear tolerance factor,0.1,32,True,0.1,103,3.0679611650485437,2.88,0.18796116504854377,2.621359223300971,3.32,-0.6986407766990288,1.1703703703703703,6,4,0.01,normalized,linf,jacobi,3,3,q_derivative,True,0.7327532999916002,,,,
paper_linear_tol,paper-stated linear tolerance factor,0.1,64,True,0.1,131,3.9389312977099236,3.97,-0.031068702290076633,2.9923664122137406,3.49,-0.49763358778625966,1.316326530612245,7,4,0.01,normalized,linf,jacobi,3,3,q_derivative,True,2.6506932999473065,,,,
paper_linear_tol,paper-stated linear tolerance factor,0.5,32,True,0.5,138,6.268115942028985,4.71,1.5581159420289854,3.3840579710144927,3.66,-0.27594202898550746,1.8522483940042827,18,6,0.01,normalized,linf,jacobi,3,3,q_derivative,True,1.6374378999462351,,,,
paper_linear_tol,paper-stated linear tolerance factor,0.5,64,True,0.5,195,11.646153846153846,6.61,5.036153846153845,4.343589743589743,3.97,0.37358974358974306,2.6812278630460447,22,7,0.01,normalized,linf,jacobi,3,3,q_derivative,True,8.546151900081895,,,,
jacobi_5_5,more Jacobi smoothing,0.1,32,True,0.1,103,2.9029126213592233,2.88,0.02291262135922345,2.4563106796116503,3.32,-0.8636893203883496,1.1818181818181819,6,4,0.01,normalized,linf,jacobi,5,5,q_derivative,True,0.8677204000996426,,,,
jacobi_5_5,more Jacobi smoothing,0.1,64,True,0.1,131,3.877862595419847,3.97,-0.09213740458015307,2.9389312977099236,3.49,-0.5510687022900767,1.3194805194805195,7,5,0.01,normalized,linf,jacobi,5,5,q_derivative,True,3.029087799950503,,,,
jacobi_5_5,more Jacobi smoothing,0.5,32,True,0.5,138,5.942028985507246,4.71,1.2320289855072462,3.260869565217391,3.66,-0.399130434782609,1.8222222222222222,16,6,0.01,normalized,linf,jacobi,5,5,q_derivative,True,2.2142300999257714,,,,
jacobi_5_5,more Jacobi smoothing,0.5,64,True,0.5,195,11.061538461538461,6.61,4.451538461538461,4.292307692307692,3.97,0.32230769230769196,2.5770609318996414,21,6,0.01,normalized,linf,jacobi,5,5,q_derivative,True,9.107020700001158,,,,
gs_3_3,lexicographic GS smoother,0.1,32,True,0.1,103,2.9029126213592233,2.88,0.02291262135922345,2.4563106796116503,3.32,-0.8636893203883496,1.1818181818181819,6,4,0.01,normalized,linf,gs,3,3,q_derivative,True,4.70881899993401,,,,
gs_3_3,lexicographic GS smoother,0.1,64,True,0.1,131,3.877862595419847,3.97,-0.09213740458015307,2.9389312977099236,3.49,-0.5510687022900767,1.3194805194805195,7,5,0.01,normalized,linf,gs,3,3,q_derivative,True,29.917526900069788,,,,
gs_3_3,lexicographic GS smoother,0.5,32,True,0.5,138,5.949275362318841,4.71,1.2392753623188408,3.260869565217391,3.66,-0.399130434782609,1.8244444444444445,17,6,0.01,normalized,linf,gs,3,3,q_derivative,True,13.397156700026244,,,,
gs_3_3,lexicographic GS smoother,0.5,64,True,0.5,195,10.882051282051282,6.61,4.272051282051282,4.292307692307692,3.97,0.32230769230769196,2.5352449223416964,21,6,0.01,normalized,linf,gs,3,3,q_derivative,True,123.5430914000608,,,,
sgs_3_3,symmetric GS smoother,0.1,32,True,0.1,103,2.9029126213592233,2.88,0.02291262135922345,2.4563106796116503,3.32,-0.8636893203883496,1.1818181818181819,6,4,0.01,normalized,linf,sgs,3,3,q_derivative,True,8.746194900013506,,,,
sgs_3_3,symmetric GS smoother,0.1,64,True,0.1,131,3.877862595419847,3.97,-0.09213740458015307,2.9389312977099236,3.49,-0.5510687022900767,1.3194805194805195,7,5,0.01,normalized,linf,sgs,3,3,q_derivative,True,58.75036750000436,,,,
paper_eps,paper JFNK epsilon with paper linear tolerance,0.1,32,True,0.1,103,99.40776699029126,2.88,96.52776699029127,2.8932038834951457,3.32,-0.42679611650485416,34.35906040268456,201,4,0.01,paper,linf,jacobi,3,3,q_derivative,True,21.05069609999191,,,,
paper_eps,paper JFNK epsilon with paper linear tolerance,0.1,64,True,0.1,131,82.59541984732824,3.97,78.62541984732825,3.236641221374046,3.49,-0.25335877862595435,25.5188679245283,201,4,0.01,paper,linf,jacobi,3,3,q_derivative,True,39.05383079999592,,,,
paper_eps,paper JFNK epsilon with paper linear tolerance,0.5,32,True,0.5,138,103.39855072463769,4.71,98.6885507246377,3.579710144927536,3.66,-0.080289855072464,28.884615384615383,201,6,0.01,paper,linf,jacobi,3,3,q_derivative,True,27.255791099974886,,,,
paper_eps,paper JFNK epsilon with paper linear tolerance,0.5,64,True,0.5,195,105.96923076923076,6.61,99.35923076923076,4.292307692307692,3.97,0.32230769230769196,24.688172043010752,201,6,0.01,paper,linf,jacobi,3,3,q_derivative,True,75.12258450000081,,,,
paper_mass,frozen Picard storage coefficient,0.1,32,True,0.1,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,5,3,0.003,normalized,linf,jacobi,3,3,frozen_coeff,True,0.7275083999847993,,,,
paper_mass,frozen Picard storage coefficient,0.1,64,True,0.1,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,6,3,0.003,normalized,linf,jacobi,3,3,frozen_coeff,True,2.259433800005354,,,,
paper_mass,frozen Picard storage coefficient,0.5,32,True,0.5,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,18,6,0.003,normalized,linf,jacobi,3,3,frozen_coeff,True,1.657495400053449,,,,
paper_mass,frozen Picard storage coefficient,0.5,64,True,0.5,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,25,6,0.003,normalized,linf,jacobi,3,3,frozen_coeff,True,7.949915499892086,,,,
no_limiter,diagnostic only: disables M3 limiter,0.1,32,True,0.1,379,6.754617414248021,2.88,3.8746174142480214,3.5804749340369395,3.32,0.26047493403693966,1.8865143699336773,8,5,0.003,normalized,linf,jacobi,3,3,q_derivative,False,3.7988299999851733,,,,
no_limiter,diagnostic only: disables M3 limiter,0.1,64,True,0.1,640,7.5859375,3.97,3.6159375,3.871875,3.49,0.38187499999999996,1.9592413236481032,8,5,0.003,normalized,linf,jacobi,3,3,q_derivative,False,16.576460500014946,,,,
no_limiter,diagnostic only: disables M3 limiter,0.5,32,True,0.5,199,10.07035175879397,4.71,5.36035175879397,4.261306532663316,3.66,0.6013065326633162,2.3632075471698113,15,5,0.003,normalized,linf,jacobi,3,3,q_derivative,False,2.9169540000148118,,,,
no_limiter,diagnostic only: disables M3 limiter,0.5,64,True,0.5,278,11.733812949640289,6.61,5.123812949640288,4.568345323741007,3.97,0.598345323741007,2.568503937007874,15,5,0.003,normalized,linf,jacobi,3,3,q_derivative,False,10.548549099941738,,,,
interior_limiter,diagnostic: Wilson limiter only on interior faces,0.1,32,True,0.1,231,6.311688311688312,2.88,3.431688311688312,3.5714285714285716,3.32,0.2514285714285718,1.7672727272727273,8,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,3.5512181000085548,,False,,
interior_limiter,diagnostic: Wilson limiter only on interior faces,0.1,64,True,0.1,338,8.005917159763314,3.97,4.035917159763313,3.970414201183432,3.49,0.4804142011834318,2.0163934426229506,11,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,11.729768799967133,,False,,
interior_limiter,diagnostic: Wilson limiter only on interior faces,0.5,32,True,0.5,151,10.218543046357615,4.71,5.508543046357615,4.086092715231788,3.66,0.42609271523178815,2.500810372771475,18,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,2.679708500043489,,False,,
interior_limiter,diagnostic: Wilson limiter only on interior faces,0.5,64,True,0.5,206,14.398058252427184,6.61,7.7880582524271835,4.558252427184466,3.97,0.5882524271844658,3.158679446219382,25,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,9.229950699955225,,False,,
base,current test.py-like settings,0.1,128,True,0.1,266,8.43233082706767,5.7,2.7323308270676696,3.8233082706766917,3.74,0.08330827067669144,2.2055063913470994,14,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,39.09994229988661,,True,,
base,current test.py-like settings,0.5,128,True,0.5,289,19.570934256055363,9.37,10.200934256055364,4.854671280276817,4.27,0.584671280276817,4.031361368496079,34,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,85.12717660004273,,True,,
interior_limiter,diagnostic: Wilson limiter only on interior faces,0.1,128,True,0.1,535,11.16822429906542,5.7,5.46822429906542,4.514018691588785,3.74,0.7740186915887852,2.474120082815735,16,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,97.6139811000321,,False,,
interior_limiter,diagnostic: Wilson limiter only on interior faces,0.5,128,True,0.5,298,21.355704697986578,9.37,11.985704697986579,5.25503355704698,4.27,0.9850335570469806,4.0638569604086845,32,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,93.7473571000155,,False,,
mg_recompute_coarse,diagnostic: recompute coarse faces from coarse cells,0.1,32,True,0.1,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,5,3,0.003,normalized,linf,jacobi,3,3,q_derivative,True,0.961361899971962,,True,recompute,
mg_recompute_coarse,diagnostic: recompute coarse faces from coarse cells,0.1,64,True,0.1,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,6,3,0.003,normalized,linf,jacobi,3,3,q_derivative,True,2.7041019999887794,,True,recompute,
mg_recompute_coarse,diagnostic: recompute coarse faces from coarse cells,0.1,128,True,0.1,266,8.462406015037594,5.7,2.7624060150375938,3.8421052631578947,3.74,0.10210526315789448,2.2025440313111546,14,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,39.29829730000347,,True,recompute,
mg_recompute_coarse,diagnostic: recompute coarse faces from coarse cells,0.5,32,True,0.5,138,6.5144927536231885,4.71,1.8044927536231885,3.0434782608695654,3.66,-0.6165217391304347,2.1404761904761904,18,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,1.717010600026697,,True,recompute,
mg_recompute_coarse,diagnostic: recompute coarse faces from coarse cells,0.5,64,True,0.5,195,11.810256410256411,6.61,5.200256410256411,3.8974358974358974,3.97,-0.07256410256410284,3.030263157894737,24,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,7.787103800103068,,True,recompute,
mg_recompute_coarse,diagnostic: recompute coarse faces from coarse cells,0.5,128,True,0.5,289,19.674740484429066,9.37,10.304740484429066,4.844290657439446,4.27,0.5742906574394464,4.061428571428571,34,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,82.9755676999921,,True,recompute,
paper_linear_tol,paper-stated linear tolerance factor,0.1,128,True,0.1,266,8.511278195488721,5.7,2.811278195488721,4.413533834586466,3.74,0.6735338345864657,1.928449744463373,15,6,0.01,normalized,linf,jacobi,3,3,q_derivative,True,41.48205200000666,,True,transmissibility,
paper_linear_tol,paper-stated linear tolerance factor,0.5,128,True,0.5,289,18.155709342560552,9.37,8.785709342560553,5.356401384083045,4.27,1.0864013840830458,3.38953488372093,33,7,0.01,normalized,linf,jacobi,3,3,q_derivative,True,80.2446176999947,,True,transmissibility,
jacobi_5_5,more Jacobi smoothing,0.1,128,True,0.1,266,8.330827067669173,5.7,2.6308270676691725,4.296992481203008,3.74,0.5569924812030074,1.9387576552930883,14,6,0.01,normalized,linf,jacobi,5,5,q_derivative,True,42.742076999973506,,True,transmissibility,
jacobi_5_5,more Jacobi smoothing,0.5,128,True,0.5,289,17.079584775086506,9.37,7.7095847750865065,5.422145328719723,4.27,1.1521453287197234,3.1499680918953414,30,7,0.01,normalized,linf,jacobi,5,5,q_derivative,True,83.08950389991514,,True,transmissibility,
cell_norm_limiter,diagnostic: Wilson limiter uses cell-centered |grad E| / E,0.1,32,True,0.1,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,5,3,0.003,normalized,linf,jacobi,3,3,q_derivative,True,0.9418282000115141,,True,transmissibility,cell_norm
cell_norm_limiter,diagnostic: Wilson limiter uses cell-centered |grad E| / E,0.1,64,True,0.1,129,3.883720930232558,3.97,-0.08627906976744226,2.7364341085271318,3.49,-0.7535658914728685,1.4192634560906516,6,3,0.003,normalized,linf,jacobi,3,3,q_derivative,True,2.669771699933335,,True,transmissibility,cell_norm
cell_norm_limiter,diagnostic: Wilson limiter uses cell-centered |grad E| / E,0.5,32,True,0.5,137,5.875912408759124,4.71,1.165912408759124,3.0072992700729926,3.66,-0.6527007299270076,1.953883495145631,16,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,2.0096039000200108,,True,transmissibility,cell_norm
cell_norm_limiter,diagnostic: Wilson limiter uses cell-centered |grad E| / E,0.5,64,True,0.5,194,9.329896907216495,6.61,2.719896907216495,3.865979381443299,3.97,-0.1040206185567012,2.4133333333333336,20,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,7.284676800016314,,True,transmissibility,cell_norm
cell_norm_limiter,diagnostic: Wilson limiter uses cell-centered |grad E| / E,0.1,128,True,0.1,258,6.387596899224806,5.7,0.6875968992248058,3.5852713178294575,3.74,-0.1547286821705427,1.7816216216216216,10,5,0.003,normalized,linf,jacobi,3,3,q_derivative,True,31.776993600069545,,True,transmissibility,cell_norm
cell_norm_limiter,diagnostic: Wilson limiter uses cell-centered |grad E| / E,0.5,128,True,0.5,301,12.980066445182723,9.37,3.6100664451827242,4.48172757475083,4.27,0.2117275747508307,2.8962194217939214,23,6,0.003,normalized,linf,jacobi,3,3,q_derivative,True,64.7463649000274,,True,transmissibility,cell_norm
