variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,6,5,14.599101800005883,
base,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,10,5,4.205450999899767,
base,M2,0.1,64,True,13732,8.875036411302068,9.01,-0.13496358869793212,4.3797698805709295,4.62,-0.24023011942907058,2.0263704836805614,16,5,506.1068914999487,
base,M2,0.5,64,True,2151,16.045560204556022,15.2,0.8455602045560227,5.451417945141794,5.37,0.08141794514179423,2.9433736994712603,43,8,124.70174329995643,
base,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,6,3,2.6127575000282377,
base,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,25,6,8.725977799971588,
tol_1e-2,M1,0.1,64,True,552,5.155797101449275,3.02,2.1357971014492754,4.956521739130435,3.57,1.3865217391304347,1.0402046783625731,6,5,15.090696100029163,
tol_1e-2,M1,0.5,64,True,156,6.230769230769231,3.96,2.270769230769231,4.435897435897436,3.63,0.8058974358974362,1.4046242774566473,10,6,4.397541700047441,
tol_1e-2,M2,0.1,64,True,13732,8.850203903291582,9.01,-0.15979609670841732,4.610690358287212,4.62,-0.009309641712787808,1.9194964778721926,14,6,511.7912762000924,
tol_1e-2,M2,0.5,64,True,2151,14.430497443049743,15.2,-0.7695025569502558,6.506741050674105,5.37,1.1367410506741047,2.2177765075735922,39,9,123.64343779999763,
tol_1e-2,M3,0.1,64,True,131,3.9389312977099236,3.97,-0.031068702290076633,2.9923664122137406,3.49,-0.49763358778625966,1.316326530612245,7,4,2.7843856000108644,
tol_1e-2,M3,0.5,64,True,195,11.646153846153846,6.61,5.036153846153845,4.343589743589743,3.97,0.37358974358974306,2.6812278630460447,22,7,8.934871000004932,
