variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,mg_operator_mode,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,rediscretized,6,4,3.915956599987112,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,rediscretized,8,5,1.4969207000685856,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,rediscretized,19,5,91.8552835000446,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,rediscretized,36,8,26.172127099940553,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,rediscretized,5,3,0.6908292999723926,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,rediscretized,18,6,1.8206942999968305,
galerkin_mg,M1,0.1,32,True,428,4.86214953271028,2.57,2.29214953271028,3.2686915887850465,3.42,-0.15130841121495342,1.4874910650464617,q_derivative,True,1.2e-06,galerkin_dense,6,4,19.71272549999412,
galerkin_mg,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,galerkin_dense,8,5,8.215740700019524,
galerkin_mg,M2,0.1,32,True,7006,8.28447045389666,7.72,0.5644704538966598,4.1280331144733085,4.53,-0.4019668855266918,2.0068808132498877,q_derivative,True,1.2e-06,galerkin_dense,22,5,419.99477150000166,
galerkin_mg,M2,0.5,32,True,1177,15.22429906542056,14.3,0.9242990654205592,5.3338997451146986,5.29,0.04389974511469852,2.8542529467983435,q_derivative,True,1.2e-06,galerkin_dense,36,8,98.72639049997088,
galerkin_mg,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,galerkin_dense,5,3,3.570562499924563,
galerkin_mg,M3,0.5,32,True,138,6.478260869565218,4.71,1.7682608695652178,3.0434782608695654,3.66,-0.6165217391304347,2.1285714285714286,q_derivative,True,1.2e-06,galerkin_dense,18,6,6.5081477999920025,
