variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,mg_jacobi_omega,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,q_derivative,True,1.2e-06,0.8,6,5,13.089783799950965,
base,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,q_derivative,True,1.2e-06,0.8,10,5,3.9678986000362784,
base,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,0.8,6,3,2.302195099997334,
base,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,q_derivative,True,1.2e-06,0.8,25,6,7.785419899970293,
jacobi_2_3,M1,0.1,64,True,552,5.384057971014493,3.02,2.364057971014493,3.4583333333333335,3.57,-0.11166666666666636,1.5568360398114196,q_derivative,True,1.2e-06,0.6666666666666666,6,5,11.821258299984038,
jacobi_2_3,M1,0.5,64,True,156,6.814102564102564,3.96,2.854102564102564,3.8461538461538463,3.63,0.21615384615384636,1.7716666666666667,q_derivative,True,1.2e-06,0.6666666666666666,11,5,3.997995699988678,
jacobi_2_3,M3,0.1,64,True,131,4.32824427480916,3.97,0.3582442748091599,3.045801526717557,3.49,-0.4441984732824431,1.4210526315789473,q_derivative,True,1.2e-06,0.6666666666666666,8,4,2.6273874000180513,
jacobi_2_3,M3,0.5,64,True,195,12.512820512820513,6.61,5.9028205128205125,4.035897435897436,3.97,0.06589743589743557,3.100381194409149,q_derivative,True,1.2e-06,0.6666666666666666,26,6,8.41945420007687,
jacobi_1_0,M1,0.1,64,True,552,5.4981884057971016,3.02,2.4781884057971015,3.572463768115942,3.57,0.0024637681159420666,1.5390466531440161,q_derivative,True,1.2e-06,1.0,8,5,11.939272799994797,
jacobi_1_0,M1,0.5,64,True,156,8.237179487179487,3.96,4.277179487179487,4.243589743589744,3.63,0.6135897435897437,1.9410876132930515,q_derivative,True,1.2e-06,1.0,22,5,4.529790100059472,
jacobi_1_0,M3,0.1,64,True,131,3.8396946564885495,3.97,-0.13030534351145073,2.687022900763359,3.49,-0.8029770992366414,1.4289772727272727,q_derivative,True,1.2e-06,1.0,6,3,2.3263698000228032,
jacobi_1_0,M3,0.5,64,True,195,12.287179487179488,6.61,5.677179487179488,3.8564102564102565,3.97,-0.11358974358974372,3.1861702127659575,q_derivative,True,1.2e-06,1.0,26,6,7.876453600008972,
