variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,mg_coarsening_mode,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,face_transmissibility,6,4,5.445168699952774,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,face_transmissibility,8,5,2.3163862000219524,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,face_transmissibility,19,5,93.45121059997473,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,face_transmissibility,36,8,27.680287599912845,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,face_transmissibility,5,3,0.7326846000505611,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,face_transmissibility,18,6,1.8787339000264183,
cell_harmonic,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,cell_harmonic,6,4,3.7349486000603065,
cell_harmonic,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,cell_harmonic,8,5,1.6024677000241354,
cell_harmonic,M2,0.1,32,True,7006,8.23693976591493,7.72,0.5169397659149295,4.116757065372537,4.53,-0.41324293462746287,2.000832119825255,q_derivative,True,1.2e-06,cell_harmonic,16,5,163.66315480007324,
cell_harmonic,M2,0.5,32,True,1177,14.834324553950722,14.3,0.5343245539507215,5.30501274426508,5.29,0.015012744265080258,2.7962844330557335,q_derivative,True,1.2e-06,cell_harmonic,36,8,28.85560610005632,
cell_harmonic,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,cell_harmonic,5,3,0.7795330000808463,
cell_harmonic,M3,0.5,32,True,138,6.5144927536231885,4.71,1.8044927536231885,3.0434782608695654,3.66,-0.6165217391304347,2.1404761904761904,q_derivative,True,1.2e-06,cell_harmonic,18,6,1.9443743999581784,
