variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,linear_solver_backend,mg_flux_coarsening,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,native,current,6,4,5.088217300013639,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,native,current,8,5,2.0441968999803066,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,native,current,19,5,93.75596280000173,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,native,current,36,8,25.828531500068493,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,native,current,5,3,0.687270800000988,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,native,current,18,6,1.7370227000210434,
cv_flux_mg,M1,0.1,32,True,428,4.86214953271028,2.57,2.29214953271028,3.2686915887850465,3.42,-0.15130841121495342,1.4874910650464617,q_derivative,True,1.2e-06,native,cv_flux,6,4,3.551731799961999,
cv_flux_mg,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,native,cv_flux,8,5,1.498507000040263,
cv_flux_mg,M2,0.1,32,True,7006,8.284755923494147,7.72,0.5647559234941477,4.128175849272052,4.53,-0.40182415072794786,2.0068805753405714,q_derivative,True,1.2e-06,native,cv_flux,22,5,95.82407710002735,
cv_flux_mg,M2,0.5,32,True,1177,15.22429906542056,14.3,0.9242990654205592,5.3338997451146986,5.29,0.04389974511469852,2.8542529467983435,q_derivative,True,1.2e-06,native,cv_flux,36,8,26.80540640000254,
cv_flux_mg,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,native,cv_flux,5,3,0.7167341000167653,
cv_flux_mg,M3,0.5,32,True,138,6.478260869565218,4.71,1.7682608695652178,3.0434782608695654,3.66,-0.6165217391304347,2.1285714285714286,q_derivative,True,1.2e-06,native,cv_flux,18,6,1.8184433999704197,
