method,model,eta,grid,paper_linear,local_linear,linear_abs_diff,linear_rel_diff_percent,paper_nonlinear,local_nonlinear,nonlinear_abs_diff,nonlinear_rel_diff_percent,num_steps,t_final,expected_t_end,complete,checkpoint
nk2,M1,0.1,32,2.57,4.864485981308412,2.2944859813084117,89.27961016764249,3.42,3.2686915887850465,-0.15130841121495342,-4.424222550144838,428,5.0,5.0,True,checkpoints\M1_eta0.1_grid32_methodnk2.npz
nk2,M1,0.1,64,3.02,5.2898550724637685,2.2698550724637685,75.1607639888665,3.57,3.476449275362319,-0.093550724637681,-2.6204684772459665,552,5.0,5.0,True,checkpoints\M1_eta0.1_grid64_methodnk2.npz
nk2,M1,0.1,128,3.4,5.768115942028985,2.3681159420289855,69.65046888320545,3.71,3.6231884057971016,-0.08681159420289841,-2.3399351537169384,690,5.0,5.0,True,checkpoints\M1_eta0.1_grid128_methodnk2.npz
nk2,M1,0.1,256,3.39,6.683709869203329,3.293709869203329,97.15958316234008,3.61,3.970273483947681,0.36027348394768133,9.979874901597821,841,5.0,5.0,True,checkpoints\M1_eta0.1_grid256_methodnk2.npz
nk2,M2,0.1,32,7.72,8.24307736226092,0.5230773622609197,6.775613500789116,4.53,4.118469882957465,-0.4115301170425356,-9.084550045089086,7006,0.005,0.005,True,checkpoints\M2_eta0.1_grid32_methodnk2.npz
nk2,M2,0.1,64,9.01,8.875036411302068,-0.13496358869793212,-1.4979310621302124,4.62,4.3797698805709295,-0.24023011942907058,-5.199786134828368,13732,0.005,0.005,True,checkpoints\M2_eta0.1_grid64_methodnk2.npz
nk2,M2,0.1,128,10.4,9.833205766041587,-0.5667942339584133,-5.449944557292436,4.66,4.924225028702641,0.26422502870264086,5.670064993618903,15678,0.0015868921729052605,0.005,False,checkpoints\M2_eta0.1_grid128_methodnk2.npz
nk2,M2,0.1,256,11.0,,,,4.62,,,,,,0.005,False,
nk2,M3,0.1,32,2.88,2.9805825242718447,0.10058252427184478,3.4924487594390548,3.32,2.3883495145631066,-0.9316504854368932,-28.061761609544977,103,0.1,0.1,True,checkpoints\M3_eta0.1_grid32_methodnk2.npz
nk2,M3,0.1,64,3.97,3.883720930232558,-0.08627906976744226,-2.1732763165602584,3.49,2.7364341085271318,-0.7535658914728685,-21.59214588747474,129,0.1,0.1,True,checkpoints\M3_eta0.1_grid64_methodnk2.npz
nk2,M3,0.1,128,5.7,6.387596899224806,0.6875968992248058,12.063103495172031,3.74,3.5852713178294575,-0.1547286821705427,-4.137130539319323,258,0.1,0.1,True,checkpoints\M3_eta0.1_grid128_methodnk2.npz
nk2,M3,0.1,256,7.74,9.241322314049587,1.5013223140495864,19.396929122087677,3.86,4.138842975206612,0.27884297520661194,7.223911274782694,605,0.1,0.1,True,checkpoints\M3_eta0.1_grid256_methodnk2.npz
nk2,M1,0.5,32,3.35,5.884353741496598,2.534353741496598,75.65235049243576,3.42,3.8639455782312924,0.44394557823129244,12.980864860564106,147,5.0,5.0,True,checkpoints\M1_eta0.5_grid32_methodnk2.npz
