method,model,eta,grid,paper_linear,local_linear,linear_abs_diff,linear_rel_diff_percent,paper_nonlinear,local_nonlinear,nonlinear_abs_diff,nonlinear_rel_diff_percent,num_steps,t_final,expected_t_end,complete,checkpoint
nk2,M1,0.1,32,2.57,,,,3.42,,,,,,5.0,False,
nk2,M1,0.1,64,3.02,,,,3.57,,,,,,5.0,False,
nk2,M1,0.1,128,3.4,,,,3.71,,,,,,5.0,False,
nk2,M1,0.1,256,3.39,,,,3.61,,,,,,5.0,False,
nk2,M2,0.1,32,7.72,,,,4.53,,,,,,0.005,False,
nk2,M2,0.1,64,9.01,,,,4.62,,,,,,0.005,False,
nk2,M2,0.1,128,10.4,,,,4.66,,,,,,0.005,False,
nk2,M2,0.1,256,11.0,,,,4.62,,,,,,0.005,False,
nk2,M3,0.1,32,2.88,,,,3.32,,,,,,0.1,False,
nk2,M3,0.1,64,3.97,,,,3.49,,,,,,0.1,False,
nk2,M3,0.1,128,5.7,,,,3.74,,,,,,0.1,False,
nk2,M3,0.1,256,7.74,,,,3.86,,,,,,0.1,False,
nk2,M1,0.5,32,3.35,,,,3.42,,,,,,5.0,False,
nk2,M1,0.5,64,3.96,,,,3.63,,,,,,5.0,False,
nk2,M1,0.5,128,4.59,,,,3.79,,,,,,5.0,False,
nk2,M1,0.5,256,5.34,,,,3.99,,,,,,5.0,False,
nk2,M2,0.5,32,14.3,,,,5.29,,,,,,0.005,False,
nk2,M2,0.5,64,15.2,,,,5.37,,,,,,0.005,False,
nk2,M2,0.5,128,16.2,,,,5.48,,,,,,0.005,False,
nk2,M2,0.5,256,17.5,,,,5.66,,,,,,0.005,False,
nk2,M3,0.5,32,4.71,,,,3.66,,,,,,0.5,False,
nk2,M3,0.5,64,6.61,,,,3.97,,,,,,0.5,False,
nk2,M3,0.5,128,9.37,,,,4.27,,,,,,0.5,False,
nk2,M3,0.5,256,12.8,,,,4.52,,,,,,0.5,False,
picard,M3,0.1,32,3.26,,,,4.26,,,,,,0.1,False,
picard,M3,0.1,64,4.09,,,,5.69,,,,,,0.1,False,
picard,M3,0.1,128,7.06,,,,8.05,,,,,,0.1,False,
picard,M3,0.5,32,5.43,,,,6.43,,,,,,0.5,False,
picard,M3,0.5,64,9.75,,,,9.49,,,,,,0.5,False,
picard,M3,0.5,128,22.7,,,,14.7,,,,,,0.5,False,
